rank,error,time_sec,MAP@10,MAR@10,Coverage,Personalization
52,4.677094,4.12,0.0422,0.0213,0.0690,0.9603
520,4.616822,7.78,0.0180,0.0115,0.0924,0.9737
781,4.591062,6.07,0.0164,0.0082,0.0988,0.9797
1041,4.586821,15.01,0.0166,0.0074,0.1026,0.9777
1301,4.589665,19.12,0.0122,0.0076,0.1061,0.9826
1561,4.573628,22.71,0.0265,0.0101,0.1034,0.9807
2082,4.606663,30.81,0.0100,0.0035,0.1040,0.9797
2602,4.606468,40.08,0.0126,0.0093,0.1055,0.9803
3122,4.639469,51.34,0.0085,0.0048,0.1049,0.9800
3643,4.630229,62.15,0.0138,0.0045,0.1097,0.9830
4163,4.625875,75.57,0.0129,0.0080,0.1086,0.9828
4684,4.656867,88.97,0.0169,0.0091,0.1103,0.9820
