rank,error,time_sec,recommendations
120,8.852706,2.70,"Napoleon Dynamite (2004):4.31|Wallace & Gromit: The Wrong Trousers (1993):4.31|Meet the Parents (2000):4.31|Old Boy (2003):4.30|Being John Malkovich (1999):4.30|As Good as It Gets (1997):4.25|Breakfast Club, The (1985):4.25|Casino Royale (2006):4.24|Silence of the Lambs, The (1991):4.24|Scarface (1983):4.22"
1201,8.789392,4.36,"E.T. the Extra-Terrestrial (1982):8.90|Babe (1995):7.24|Ace Ventura: Pet Detective (1994):7.23|Matrix Reloaded, The (2003):7.20|Ferris Bueller's Day Off (1986):7.13|Monty Python's Life of Brian (1979):7.07|Aladdin (1992):6.93|Mrs. Doubtfire (1993):6.93|Superman (1978):6.89|Charlie's Angels (2000):6.73"
1801,8.766544,5.50,"Beetlejuice (1988):8.02|Lara Croft: Tomb Raider (2001):7.91|Natural Born Killers (1994):7.65|Cocoon (1985):7.63|Home Alone 2: Lost in New York (1992):7.54|Tron (1982):7.29|My Big Fat Greek Wedding (2002):7.08|Lawnmower Man, The (1992):7.07|Mrs. Doubtfire (1993):6.90|High Fidelity (2000):6.89"
2402,8.778257,6.96,"Mad Max Beyond Thunderdome (1985):7.23|Turner & Hooch (1989):6.46|Blue Lagoon, The (1980):6.42|Pretty Woman (1990):6.42|Twelve Monkeys (a.k.a. 12 Monkeys) (1995):6.35|Heat (1995):6.23|Mr. Deeds (2002):6.23|Dude, Where's My Car? (2000):6.12|Fantastic Four (2015):6.11|Pearl Harbor (2001):6.07"
3002,8.783010,9.36,Mission: Impossible (1996):8.68|Ace Ventura: Pet Detective (1994):7.86|Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006):7.71|Tremors (1990):7.65|Star Wars: Episode III - Revenge of the Sith (2005):7.48|Vegas Vacation (National Lampoon's Las Vegas Vacation) (1997):7.45|Reign of Fire (2002):7.24|Elf (2003):7.24|Battlefield Earth (2000):7.23|Home Alone (1990):7.19
3603,8.788511,12.66,"Scary Movie (2000):7.64|It's a Wonderful Life (1946):7.62|Evil Dead II (Dead by Dawn) (1987):7.44|Cube (1997):7.35|Boogie Nights (1997):7.34|Prestige, The (2006):7.08|Firm, The (1993):7.02|Starsky & Hutch (2004):6.83|Mission: Impossible (1996):6.80|Beauty and the Beast (1991):6.78"
4804,8.807353,22.95,"Independence Day (a.k.a. ID4) (1996):10.19|Royal Tenenbaums, The (2001):10.16|Da Vinci Code, The (2006):10.03|300 (2007):9.32|Groundhog Day (1993):8.50|40-Year-Old Virgin, The (2005):8.31|Donnie Darko (2001):8.30|Braveheart (1995):7.96|Finding Nemo (2003):7.81|Titanic (1997):7.77"
6004,8.830306,39.17,"There's Something About Mary (1998):10.63|Lord of the Rings: The Fellowship of the Ring, The (2001):9.58|Gladiator (2000):9.37|Austin Powers: The Spy Who Shagged Me (1999):9.10|Total Recall (1990):8.63|Charlie and the Chocolate Factory (2005):8.60|Grease (1978):8.49|Beetlejuice (1988):8.36|Heat (1995):8.16|Mask, The (1994):8.04"
7205,8.848605,62.43,"Babe (1995):12.45|Star Wars: Episode I - The Phantom Menace (1999):11.45|Spider-Man (2002):11.36|Clockwork Orange, A (1971):9.20|Toy Story 3 (2010):8.98|Kick-Ass (2010):8.84|Karate Kid, Part II, The (1986):8.83|Spirited Away (Sen to Chihiro no kamikakushi) (2001):8.79|Star Wars: Episode V - The Empire Strikes Back (1980):8.48|Harry Potter and the Order of the Phoenix (2007):8.43"
8406,8.873454,125.58,"Mars Attacks! (1996):11.42|Home Alone 2: Lost in New York (1992):10.04|Seven (a.k.a. Se7en) (1995):9.96|Stargate (1994):8.73|Me, Myself & Irene (2000):8.70|Gangs of New York (2002):8.44|Lion King, The (1994):8.40|Indiana Jones and the Kingdom of the Crystal Skull (2008):8.05|Underworld (2003):8.01|Mummy Returns, The (2001):7.88"
9607,8.903459,178.31,"Jurassic Park (1993):9.61|Ghost (1990):9.50|2001: A Space Odyssey (1968):8.67|Pretty Woman (1990):8.46|Schindler's List (1993):8.41|Dead Poets Society (1989):8.38|American Pie (1999):8.37|O Brother, Where Art Thou? (2000):8.14|There's Something About Mary (1998):7.90|Birdcage, The (1996):7.90"
10808,8.962408,238.48,"Jurassic Park (1993):11.70|Super Mario Bros. (1993):9.81|Road Trip (2000):9.72|Star Trek: The Motion Picture (1979):9.13|Charlie's Angels (2000):8.65|Cable Guy, The (1996):8.64|Lord of the Rings: The Fellowship of the Ring, The (2001):8.60|South Park: Bigger, Longer and Uncut (1999):8.56|Scary Movie (2000):8.45|Clear and Present Danger (1994):8.23"
11409,9.007651,272.51,"Armageddon (1998):13.59|Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001):12.22|There's Something About Mary (1998):11.31|Fight Club (1999):10.45|Spider-Man (2002):10.29|Minority Report (2002):10.09|Jerry Maguire (1996):10.06|Shrek (2001):9.74|Road Trip (2000):9.45|Matrix Reloaded, The (2003):9.32"
11889,9.065128,346.59,Monty Python and the Holy Grail (1975):9.23|Star Trek: Generations (1994):8.44|300 (2007):8.41|Requiem for a Dream (2000):7.99|Love Actually (2003):7.74|American Pie (1999):7.70|Black Swan (2010):7.68|Patch Adams (1998):7.40|Star Wars: Episode VI - Return of the Jedi (1983):7.29|Planet of the Apes (1968):7.18
