Rows,Columns,Fill Rate,Rank,Original Metric Value,"Percent Metric, %",Filtered Metric Value,"Filtered Percent Metric, %"
9949,1517,10.060968155788323,1517,562.051135646511,99.42,430.23675353936727,99.63
9949,1517,10.060968155788323,758,11424.305567517482,58.04,6114.829886318257,78.1
9949,1517,10.060968155788323,505,18648.507352598903,41.17,8103.605465442457,69.09
9949,1517,10.060968155788323,379,28750.104509480585,31.69,9563.316386956498,63.37
9949,1517,10.060968155788323,303,78383.44803040907,24.62,10898.362849206664,59.92
9949,1517,10.060968155788323,252,124447.26325135057,20.36,11502.709679508967,57.55
9949,1517,10.060968155788323,216,57277.23288735256,18.99,11162.892857484852,56.15
9949,1517,10.060968155788323,189,42449.060659841816,17.74,10838.760566279596,56.08
9949,1517,10.060968155788323,168,83980.10518761534,15.08,11692.68355151054,53.45
18896,8124,1.3696442441062766,8124,5.143677906734566,100.0,5.070822152976975,100.0
18896,8124,1.3696442441062766,4062,6455.175603249911,86.93,4499.157894545704,93.48
18896,8124,1.3696442441062766,2708,71166.30726283097,52.95,20936.643792473704,76.51
18896,8124,1.3696442441062766,2031,67353.68520355552,45.06,22204.812175062663,72.44
18896,8124,1.3696442441062766,1624,419397.26629347145,31.31,32308.483619740946,65.59
18896,8124,1.3696442441062766,1354,197848.65421918753,29.77,30370.290743951573,64.87
18896,8124,1.3696442441062766,1160,215259.9478303815,27.72,30553.118729385515,63.71
18896,8124,1.3696442441062766,1015,248598.66130627238,24.35,32161.075339835545,62.18
18896,8124,1.3696442441062766,902,611941.7760627952,19.85,35983.98972270329,59.99
18896,8124,1.3696442441062766,812,147668.0119841595,23.0,30838.070590725412,61.62
18896,8124,1.3696442441062766,738,217396.8807500322,20.75,32858.96422975321,59.84
18896,8124,1.3696442441062766,677,263259.5163366046,19.37,33258.42999742794,59.97
18896,8124,1.3696442441062766,624,114861.79900721648,22.35,29535.693718492334,61.04
18896,8124,1.3696442441062766,580,154874.69297522146,20.24,31156.568773559447,60.26
