rank,error,time_sec,recommendations
56,4.015163,0.59,"'burbs, The (1989):3.58|13 Assassins (Jûsan-nin no shikaku) (2010):3.58|13 Ghosts (1960):3.58|13 Going on 30 (2004):3.58|13 Hours (2016):3.58|13th Warrior, The (1999):3.58|1408 (2007):3.58|15 Minutes (2001):3.58|16 Blocks (2006):3.58|17 Again (2009):3.58"
555,4.042610,0.82,"Me, Myself & Irene (2000):6.41|Nightmare Before Christmas, The (1993):5.98|Ferris Bueller's Day Off (1986):5.90|Mrs. Doubtfire (1993):5.81|Wedding Crashers (2005):5.75|Juno (2007):5.62|Scary Movie (2000):5.61|Lord of the Rings: The Return of the King, The (2003):5.57|Free Willy (1993):5.50|Indiana Jones and the Temple of Doom (1984):5.50"
833,4.056387,0.97,"Dances with Wolves (1990):6.91|Cable Guy, The (1996):6.70|Alien: Resurrection (1997):6.69|Starship Troopers (1997):6.68|Back to the Future Part III (1990):6.63|Mrs. Doubtfire (1993):6.53|Speed 2: Cruise Control (1997):6.46|Click (2006):6.39|Outbreak (1995):6.37|RoboCop 2 (1990):6.35"
1111,4.068979,1.15,"Gone in 60 Seconds (2000):7.14|Mission: Impossible (1996):7.14|Natural Born Killers (1994):7.06|Ace Ventura: When Nature Calls (1995):6.54|Day After Tomorrow, The (2004):6.47|Moulin Rouge (2001):6.45|Untouchables, The (1987):6.31|Lost World: Jurassic Park, The (1997):6.29|Batman Forever (1995):6.25|Adaptation (2002):6.23"
1388,4.074337,1.45,"Transformers: Revenge of the Fallen (2009):8.28|The Amazing Spider-Man 2 (2014):7.68|Amazing Spider-Man, The (2012):7.56|X-Men Origins: Wolverine (2009):7.23|Incredible Hulk, The (2008):7.22|Lost World: Jurassic Park, The (1997):7.22|Fantastic Four: Rise of the Silver Surfer (2007):7.10|Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005):7.10|Superman IV: The Quest for Peace (1987):7.09|Toy Story (1995):6.98"
1666,4.094893,1.78,Up (2009):7.07|Inside Out (2015):6.76|Inglourious Basterds (2009):6.73|Gone in 60 Seconds (2000):6.68|2001: A Space Odyssey (1968):6.43|Ted (2012):6.41|Ocean's Eleven (2001):6.40|Jurassic World (2015):6.40|X2: X-Men United (2003):6.40|Lucky Number Slevin (2006):6.34
2221,4.110470,2.84,"Clockwork Orange, A (1971):8.56|Armageddon (1998):7.97|Mission to Mars (2000):7.91|Star Trek III: The Search for Spock (1984):7.79|Ghostbusters II (1989):7.59|Pirates of the Caribbean: The Curse of the Black Pearl (2003):7.48|Bruce Almighty (2003):7.42|Mission: Impossible II (2000):7.40|Conspiracy Theory (1997):7.23|GoldenEye (1995):7.11"
2776,4.116829,4.33,"Rush Hour 2 (2001):7.47|Natural Born Killers (1994):6.88|Anaconda (1997):6.80|Stop! Or My Mom Will Shoot (1992):6.77|Close Encounters of the Third Kind (1977):6.70|Space Jam (1996):6.60|Fear and Loathing in Las Vegas (1998):6.51|Eternal Sunshine of the Spotless Mind (2004):6.46|Moulin Rouge (2001):6.41|South Park: Bigger, Longer and Uncut (1999):6.26"
3332,4.122327,6.69,"Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001):7.07|Grease (1978):7.00|Pulp Fiction (1994):6.72|Ted (2012):6.58|Time Machine, The (2002):6.36|Ocean's Eleven (2001):6.30|Specialist, The (1994):5.91|V for Vendetta (2006):5.88|American History X (1998):5.86|Captain America: The First Avenger (2011):5.80"
3887,4.136097,10.33,"Lara Croft: Tomb Raider (2001):9.33|Austin Powers in Goldmember (2002):8.83|Happy Gilmore (1996):8.00|Blues Brothers, The (1980):7.93|Bowling for Columbine (2002):7.87|Mars Attacks! (1996):7.72|Bridget Jones's Diary (2001):7.72|Pirates of the Caribbean: The Curse of the Black Pearl (2003):7.70|Dumb & Dumber (Dumb and Dumber) (1994):7.64|A.I. Artificial Intelligence (2001):7.55"
4442,4.153705,15.10,"Pearl Harbor (2001):9.80|Demolition Man (1993):9.55|Ace Ventura: When Nature Calls (1995):9.11|Space Jam (1996):8.72|Broken Arrow (1996):8.72|Indiana Jones and the Kingdom of the Crystal Skull (2008):8.53|What Women Want (2000):8.52|Day After Tomorrow, The (2004):8.49|Star Wars: Episode I - The Phantom Menace (1999):8.36|From Dusk Till Dawn (1996):8.30"
4998,4.174826,21.23,Spider-Man (2002):9.77|Big Daddy (1999):9.49|Barb Wire (1996):9.22|Braveheart (1995):9.18|Godzilla (1998):8.70|Die Hard (1988):8.58|American Pie 2 (2001):8.58|Rush Hour (1998):8.50|Indiana Jones and the Last Crusade (1989):8.43|Rocky (1976):8.38
5275,4.188034,23.78,"Star Wars: Episode II - Attack of the Clones (2002):11.59|Minority Report (2002):10.66|Mummy, The (1999):10.49|Judge Dredd (1995):9.57|Scary Movie (2000):9.50|Total Recall (1990):9.39|Matrix, The (1999):9.19|Lord of the Rings: The Return of the King, The (2003):9.17|Titanic (1997):8.99|Pirates of the Caribbean: The Curse of the Black Pearl (2003):8.92"
5497,4.199298,25.44,"Face/Off (1997):8.35|Talented Mr. Ripley, The (1999):8.15|Speed (1994):8.12|Alien (1979):7.86|Titanic (1997):7.55|Shaun of the Dead (2004):7.54|Jerry Maguire (1996):7.51|Lara Croft: Tomb Raider (2001):7.47|Pulp Fiction (1994):7.35|Net, The (1995):7.29"
