rank,error,time_sec,MAP@10,MAR@10,Coverage,Personalization
52,4.681232,2.28,0.2429,0.0939,0.0517,0.9446
520,4.682432,2.36,0.1169,0.0563,0.0997,0.9819
781,4.683377,2.42,0.1188,0.0496,0.1099,0.9856
1041,4.684123,2.55,0.0992,0.0404,0.1234,0.9892
1301,4.684692,2.54,0.0702,0.0298,0.1247,0.9892
1561,4.685112,2.49,0.0719,0.0242,0.1337,0.9913
2082,4.685565,2.60,0.0544,0.0170,0.1399,0.9927
2602,4.685532,2.60,0.0421,0.0125,0.1493,0.9943
3122,4.684894,2.54,0.0475,0.0131,0.1520,0.9948
3643,4.683556,2.58,0.0503,0.0107,0.1474,0.9938
4163,4.681364,2.57,0.0347,0.0074,0.1374,0.9926
4684,4.677758,2.71,0.0278,0.0050,0.1030,0.9845
