factors,error,time_sec,recommendations
120,8.870814,2.37,"Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001):4.11|Harry Potter and the Deathly Hallows: Part 1 (2010):4.09|Harry Potter and the Goblet of Fire (2005):4.09|Harry Potter and the Chamber of Secrets (2002):4.06|Harry Potter and the Order of the Phoenix (2007):4.06|WALL·E (2008):3.77|District 9 (2009):3.75|Superbad (2007):3.74|Hobbit: An Unexpected Journey, The (2012):3.73|The Hunger Games (2012):3.73"
1201,8.876570,2.63,"Harry Potter and the Deathly Hallows: Part 1 (2010):4.17|Harry Potter and the Order of the Phoenix (2007):3.91|About Time (2013):3.77|Help, The (2011):3.76|La La Land (2016):3.75|Midnight in Paris (2011):3.74|Harry Potter and the Goblet of Fire (2005):3.74|X-Men: Days of Future Past (2014):3.73|21 Jump Street (2012):3.71|Kiss Kiss Bang Bang (2005):3.70"
1801,8.877307,2.59,"Harry Potter and the Deathly Hallows: Part 1 (2010):3.71|Help, The (2011):3.71|Tucker & Dale vs Evil (2010):3.71|Easy A (2010):3.70|Spotlight (2015):3.70|Chappie (2015):3.70|21 (2008):3.70|Jackass: The Movie (2002):3.69|What We Do in the Shadows (2014):3.69|Kiss Kiss Bang Bang (2005):3.69"
2402,8.877346,2.68,Mission: Impossible - Fallout (2018):3.69|Seven Psychopaths (2012):3.69|Uncut Gems (2019):3.68|Bridge of Spies (2015):3.68|Swiss Army Man (2016):3.68|Planet Terror (2007):3.67|Tomorrowland (2015):3.67|Drunken Master (Jui kuen) (1978):3.67|Date Night (2010):3.67|Easy A (2010):3.67
3002,8.876657,2.68,"Bullet Train (2022):3.68|Girl Who Leapt Through Time, The (Toki o kakeru shôjo) (2006):3.67|Seven Psychopaths (2012):3.67|Your Name. (2016):3.67|Alita: Battle Angel (2019):3.67|Alien: Covenant (2017):3.66|Life as We Know It (2010):3.66|Final Destination 3 (2006):3.66|Don't Look Up (2021):3.66|Snowden (2016):3.66"
3603,8.875385,2.77,"Life as We Know It (2010):3.67|Bullet Train (2022):3.67|Don't Look Up (2021):3.67|Place Beyond the Pines, The (2012):3.66|Uncharted: Drake's Fortune:3.66|Your Name. (2016):3.66|Hell or High Water (2016):3.66|Louis C.K.: Live at The Comedy Store (2015):3.65|Snowden (2016):3.65|Men in Black: International (2019):3.65"
4804,8.871606,2.89,Nope (2022):3.68|Guardians of the Galaxy Volume 3 (2023):3.67|Uncharted: Drake's Fortune:3.67|Lightyear (2022):3.67|The Tomorrow War (2021):3.66|Buried (2010):3.66|Ready or Not (2019):3.66|6 Underground (2019):3.66|The Super Mario Bros. Movie (2023):3.66|Mission: Impossible - Dead Reckoning Part One (2023):3.65
6004,8.866582,2.92,"Nope (2022):3.67|Lightyear (2022):3.67|Elvis (2022):3.66|Guardians of the Galaxy Volume 3 (2023):3.66|Girl Walks Home Alone at Night, A (2014):3.66|Uncharted: Drake's Fortune:3.66|Babylon (2022):3.65|AlphaGo (2017):3.65|The Tomorrow War (2021):3.65|Ready or Not (2019):3.65"
7205,8.860585,3.02,"Girl Walks Home Alone at Night, A (2014):3.66|Lightyear (2022):3.65|Babylon (2022):3.65|Knock at the Cabin (2023):3.64|Nope (2022):3.64|Monsters vs Aliens: Mutant Pumpkins from Outer Space (2009):3.64|Anthropoid (2016):3.64|The Red Turtle (2016):3.64|Minions: The Rise of Gru (2022):3.64|Elvis (2022):3.63"
8406,8.853776,3.10,"Lightyear (2022):3.64|Girl Walks Home Alone at Night, A (2014):3.63|Monsters vs Aliens: Mutant Pumpkins from Outer Space (2009):3.63|Nope (2022):3.63|Super Troopers 2 (2018):3.62|The Aeronauts (2019):3.62|The Red Turtle (2016):3.62|The Art of Racing in the Rain (2019):3.62|Guest from the Future (Gostya iz buduschego) (1985):3.62|Cinderella (1997):3.62"
9607,8.846818,3.10,Lightyear (2022):3.62|Transformers: Rise of the Beasts (2023):3.62|Ghosted (2023):3.62|The Protégé (2021):3.62|Sorry We Missed You (2019):3.62|The Aeronauts (2019):3.62|The Art of Racing in the Rain (2019):3.62|Creed III (2023):3.62|Lo chiamavano Jeeg Robot (2016):3.62|What Men Talk About (2010):3.61
10808,8.841396,3.34,The Protégé (2021):3.62|Ghosted (2023):3.61|The Eyes of Tammy Faye (2021):3.61|6 Days (2017):3.61|Don't Think Twice (2016):3.61|Transformers: Rise of the Beasts (2023):3.61|Deep Web (2015):3.61|Gunpowder Milkshake (2021):3.61|Marry Me (2022):3.61|An Inspector Calls (2015):3.61
11409,8.840259,3.21,The Eyes of Tammy Faye (2021):3.61|The Protégé (2021):3.61|Brimstone (2016):3.61|Don't Think Twice (2016):3.61|Devil's Knot (2013):3.61|Lilo & Stitch 2: Stitch has a Glitch (2005):3.61|Dragon Hunters (Chasseurs de dragons) (2008):3.61|Happy End (2017):3.61|Tower (2016):3.61|Deadwood: The Movie (2019):3.61
11889,8.840052,3.40,"Flee (2021):3.61|Deep Water (2022):3.61|Dead Reckoning (1947):3.60|Don't Hug Me I'm Scared 3 (2014):3.60|Mayhem (2017):3.60|I Want to Live! (1958):3.60|Revenge of Frankenstein, The (1958):3.60|Selfish Giant, The (2013):3.60|The Skeleton Dance (1929):3.60|A Private War (2018):3.60"
